TABLE_NAME     COLUMN_NAME            DATA_TYPE
mPatientNeedyMed           DrugID                      varchar
mPatientNeedyMed           DrugScheduleID              int
mPatientNeedyMed           ReceivedLetterDate          datetime
mPatientNeedyMed           Status                      varchar
mPatientNeedyMed           EndDate                     datetime
mPatientNeedyMed           PNMNotes                    varchar
mPatientNeedyMed           TimeDateStamp               datetime
mPatientNeedyMed           AcctUser                    varchar
mPatientNeedyMed           LotNumber                   varchar
mPatientNeedyMed           IsActive                    bit
mPatientNeedyMed           IsDeleted                   bit
mPatientNeedyMed           UserCreated                 varchar
mPatientNeedyMed           DateCreated                 datetime
mPatientNeedyMed           UserUpdated                 varchar
mPatientNeedyMed           DateUpdated                 datetime
mPatientNote               PatientNoteID               int
mPatientNote               PatientID                   int
mPatientNote               NoteID                      int
mPatientNote               PatientNote                 varchar
mPatientNote               IsNoteDisplayed             bit
mPatientNote               IsNoteUrgent                bit
mPatientNote               BeginDate                   datetime
mPatientNote               EndDate                     datetime
mPatientNote               IsActive                    bit
mPatientNote               IsDeleted                   bit
mPatientNote               UserCreated                 varchar
mPatientNote               DateCreated                 datetime
mPatientNote               UserUpdated                 varchar
mPatientNote               DateUpdated                 datetime
mPatientOtherInformation   PatientOtherInformationID   int
mPatientOtherInformation   PatientID                   int
mPatientOtherInformation   NumberDependents            int
mPatientOtherInformation   NumberSeniorFamilyMembers     int
mPatientOtherInformation   NumberAdultFamilyMembers      int
mPatientOtherInformation   NumberChildrenFamilyMembers   int
mPatientOtherInformation   ResidenceFinance              varchar
mPatientOtherInformation   ResidenceType                 varchar
mPatientOtherInformation   GovernmentAssistance          money
mPatientOtherInformation   UnemploymentCompensation      money
mPatientOtherInformation   DisabilityCompensation        money
mPatientOtherInformation   ChildSupport                  money
mPatientOtherInformation   OtherIncome                   money
mPatientOtherInformation   IsUSCitizenOrResidence        bit
mPatientOtherInformation   NoReportedAllergies           bit
mPatientOtherInformation   RefusesToTakeMedication       bit
mPatientOtherInformation   NoReportedProblems            bit
mPatientOtherInformation   PreferredPharmacyID           int
mPatientOtherInformation   IsVeteran                     bit
mPatientOtherInformation   SmokingSnomed_CID             varchar
mPatientOtherInformation   SmokingSnomed_FSN             varchar
mPatientOtherInformation   IsActive                      bit
mPatientOtherInformation   IsDeleted                     bit
mPatientOtherInformation   UserCreated                   varchar
mPatientOtherInformation   DateCreated                   datetime
mPatientOtherInformation   UserUpdated                   varchar
mPatientOtherInformation   DateUpdated                   datetime
mPatientPayerDescriptor    PatientPayerDescriptorID      int
mPatientPayerDescriptor    PatientID                     int
mPatientPayerDescriptor    PayerDescriptorID             int
mPatientPayerDescriptor    ScreenValue                   varchar
mPatientPayerDescriptor    IsActive                      bit
mPatientPayerDescriptor    IsDeleted                     bit
mPatientPayerDescriptor    UserCreated                   varchar
mPatientPayerDescriptor    DateCreated                   datetime
mPatientPayerDescriptor    UserUpdated                   varchar
mPatientPayerDescriptor    DateUpdated                   datetime
mPatientPortal             PatientPortalID               int
mPatientPortal             PatientID                     int
mPatientPortal             IsActive                      bit
mPatientPortal             IsDeleted                     bit
mPatientPortal             UserCreated                   varchar
mPatientPortal             DateCreated                   datetime
mPatientPortal             UserUpdated                   varchar
mPatientPortal             DateUpdated                   datetime
mPatientPortal             PatientPortalStatus           int
mPatientPortal             PatientPortalStatusDate       datetime
mPatientPortal             PatientPortalAuthDate         datetime
mPatientPortal             PatientPortalUserName         varchar
mPatientPortal             PatientPortalPassword         varchar
mPatientPortal               IsPatient                     bit
mPatientPortal               RepEmailAddress               varchar
mPatientPortal               PassCode                      varchar
mPatientPortal               SharingLevel                  int
mPatientPortal               ExpireDate                    datetime
mPatientPortal               Relationship                  varchar
mPatientPortal               Comment                       varchar
mPatientPortal               Token                         varchar
mPatientPortal               ValidTo                       datetime
mPatientPortal               TokenCreateUser               varchar
mPatientPortal               TokenCreateDate               datetime
mPatientPreference           PatientPreferenceID           int
mPatientPreference           PatientID                     int
mPatientPreference           PreferenceIdentifier          varchar
mPatientPreference           PreferenceName                varchar
mPatientPreference           PreferenceValue               varchar
mPatientPreference           PreferenceXML                 xml
mPatientPreference           IsActive                      bit
mPatientPreference           IsDeleted                     bit
mPatientPreference           UserCreated                   varchar
mPatientPreference           DateCreated                   datetime
mPatientPreference           UserUpdated                   varchar
mPatientPreference           DateUpdated                   datetime
mPatientPrescribedMedicine   PatientPrescribedMedicineID   int
mPatientPrescribedMedicine   PatientID                     int
mPatientPrescribedMedicine   PPMDate                       datetime
mPatientPrescribedMedicine   MedicinePrescribed            varchar
mPatientPrescribedMedicine   PPMNotes                      varchar
mPatientPrescribedMedicine   FacilityID                    int
